lat,lon,hig,time_,P,T,RH,Tm,ztd,HGPT2_ZTD,beita1,beita2,beita3,beita4,beita5,beita6,beita7,beita8,beita9,Beta,beita10,year,mouth,day,hour
-77.533,160.271,1869.726,2018/1/1 0:00,777.7870964932448,256.4579802632912,53.29393465598132,248.2698473632852,1.7614,1.7761229366269982,-0.001620505,-0.018475637,0.0014555208901774,-0.003790816,0.0080141958296916,0.0166080450975435,-0.008040405,-0.007994474,-0.000878861,-0.014722937,0,2018,1,1,0
-77.533,160.271,1869.726,2018/1/1 4:00,777.610673101186,257.2929279536368,52.10260199072331,248.67956423093943,1.7637,1.7761755400692043,-0.001102608,-0.016308568,0.001428565493824,-0.004452517,0.0082333946259688,0.0166309413115582,-0.008029967,-0.00800498,-0.000869802,-0.01247554,0,2018,1,1,4
-77.533,160.271,1869.726,2018/1/1 8:00,777.7203699070665,255.980502402535,49.75968268410968,248.03554438149928,1.7656,1.7750745314839709,-0.00030264,-0.013653967,0.0013313513441067,-0.00505085,0.0084450009273946,0.0166518733796914,-0.008019088,-0.008015461,-0.00086075,-0.009474531,0,2018,1,1,8
-77.533,160.271,1869.726,2018/1/1 12:00,777.8201169744945,253.39146846652,50.669881143968354,246.765080510792,1.7683,1.7738164628396271,0.0015293944337074,-0.011062172,0.0011690547860832,-0.005586935,0.0086487635766927,0.0166708242228683,-0.008007767,-0.00802592,-0.000851706,-0.005516463,0,2018,1,1,12
-77.533,160.271,1869.726,2018/1/1 16:00,777.5440646214072,252.4493708950561,51.68539906564816,246.3027841652029,1.7659,1.772792376736579,-0.001440365,-0.008994155,0.0009496861073939,-0.006064726,0.0088444314165867,0.0166877767620143,-0.007996001,-0.008036355,-0.000842669,-0.006892377,0,2018,1,1,16
-77.533,160.271,1869.726,2018/1/1 20:00,777.64764539878,254.1551664581992,52.615155580212544,247.13983446556384,1.7683,1.7741196462379156,-0.001204182,-0.007678813,0.0006822480971142,-0.006489171,0.0090317532898002,0.0167027139180548,-0.007983789,-0.008046768,-0.000833639,-0.005819646,0,2018,1,1,20
-77.533,160.271,1869.726,2018/1/2 0:00,777.8247150375112,256.40064780763106,53.29472187237951,248.24171377549328,1.7734,1.7761649773558454,0.0012725025638537,-0.006621202,0.0003758883781657,-0.006865361,0.0092104780390568,0.016715618611915,-0.007971129,-0.008057157,-0.000824616,-0.002764977,0,2018,1,2,0
-77.533,160.271,1869.726,2018/1/2 4:00,777.6449901727038,257.2325675244276,52.11150931203111,248.64994478738407,1.772,1.776207051296577,-0.001128702,-0.005185402,3.975457347039229e-05,-0.007198388,0.0093803545070803,0.0167264737645204,-0.007958017,-0.008067523,-0.000815601,-0.004207051,0,2018,1,2,4
-77.533,160.271,1869.726,2018/1/2 8:00,777.753909126465,255.9234714468521,49.76763773201501,248.007558742648,1.7728,1.7751130399087494,-0.001103606,-0.002846564,-0.000317006,-0.007493345,0.0095411315365942,0.0167352622967963,-0.007944453,-0.008077867,-0.000806593,-0.00231304,0,2018,1,2,8
-77.533,160.271,1869.726,2018/1/2 12:00,777.852189788311,253.32995320944792,50.67532914408235,246.73489438208964,1.7764,1.7738555196425247,0.0008330113321857,0.0005337260449236,-0.000685245,-0.007755322,0.0096925579703222,0.0167419671296681,-0.007930435,-0.008088188,-0.000797592,0.0025444803574752,0,2018,1,2,12
-77.533,160.271,1869.726,2018/1/2 16:00,777.576232886925,252.3851722981977,51.69246535614595,246.27128129584145,1.7789,1.772832350390342,0.00121960441226,0.0041153637752324,-0.001055815,-0.007989412,0.0098343826509879,0.016746571184061,-0.007915959,-0.008098487,-0.000788598,0.0060676496096578,0,2018,1,2,16
-77.533,160.271,1869.726,2018/1/2 20:00,777.6786164241697,254.08955575121487,52.60027867045136,247.10763866017265,1.7803,1.77414741241027,-0.001304292,0.0071511444929193,-0.001419569,-0.008200707,0.0099663544213149,0.0167490573809004,-0.007901025,-0.008108764,-0.000779612,0.0061525875897299,0,2018,1,2,20
-77.533,160.271,1869.726,2018/1/3 0:00,777.8574560800007,256.3361262838976,53.29068162646055,248.21005244280624,1.7864,1.7761899492209523,0.0013816327718272,0.0089277256419334,-0.001767359,-0.008394299,0.0100882221240269,0.01674940864352,-0.00788563,-0.008119018,-0.000770633,0.0102100507790476,0,2018,1,3,0
-77.533,160.271,1869.726,2018/1/3 4:00,777.6745005209696,257.1650020674131,52.116652371946834,248.6167897673395,1.7858,1.7762215288300904,-0.000332346,0.0103894734891003,-0.002090037,-0.008575278,0.0101997346018475,0.0167476079749572,-0.007869772,-0.00812925,-0.000761661,0.0095784711699096,0,2018,1,3,4
-77.533,160.271,1869.726,2018/1/3 8:00,777.7826103738313,255.85960622306592,49.77228014908694,247.9762194626616,1.785,1.7751355898494308,-0.001367841,0.0120607728299887,-0.002378456,-0.008748738,0.0103006406975004,0.0167436387145714,-0.00785345,-0.00813946,-0.000752697,0.0098644101505691,0,2018,1,3,8
-77.533,160.271,1869.726,2018/1/3 12:00,777.8793878773068,253.261522105668,50.67800734374755,246.7013145808457,1.7876,1.773879490329331,0.0012213114370392,0.0136443124561044,-0.002623468,-0.008919771,0.0103906892537091,0.016737484628097,-0.007836661,-0.008149648,-0.00074374,0.0137205096706691,0,2018,1,3,12
-77.533,160.271,1869.726,2018/1/3 16:00,777.6035574670191,252.31423497583523,51.69594701312087,246.23647166901787,1.7838,1.7728575677764755,-0.000193769,0.012555651239733,-0.002810731,-0.009093466,0.0104696291131973,0.0167291301112932,-0.007819407,-0.008159815,-0.00073479,0.0109424322235245,0,2018,1,3,16
-77.533,160.271,1869.726,2018/1/3 20:00,777.7047090164223,254.01700902078247,52.58088692398297,247.0720392813193,1.7809,1.774159494639871,-0.000756642,0.0091189155119784,-0.002905126,-0.009274918,0.0105372091186887,0.0167185599869723,-0.007801686,-0.00816996,-0.000725847,0.0067405053601288,0,2018,1,3,20
